Category: All categories

Month,Groundhog: (United States),Punxsutawney Phil: (United States),Milltown Mel: (United States),Essex Ed: (United States),Chattanooga Chuck: (United States)
2010-12,5,<1,0,<1,<1
2011-01,15,1,<1,<1,<1
2011-02,79,12,<1,<1,<1
2011-03,5,<1,0,<1,<1
2011-04,5,<1,0,<1,<1
2011-05,7,<1,0,<1,<1
2011-06,9,<1,0,<1,<1
2011-07,8,<1,0,<1,<1
2011-08,6,<1,0,<1,<1
2011-09,5,<1,0,<1,<1
2011-10,5,<1,0,<1,<1
2011-11,4,<1,0,<1,<1
2011-12,4,<1,0,<1,<1
2012-01,12,1,<1,<1,<1
2012-02,77,9,<1,<1,<1
2012-03,5,<1,0,<1,<1
2012-04,5,<1,0,<1,<1
2012-05,7,<1,0,<1,<1
2012-06,8,<1,0,<1,<1
2012-07,8,<1,0,<1,<1
2012-08,6,<1,0,<1,<1
2012-09,6,<1,0,<1,<1
2012-10,5,<1,0,<1,<1
2012-11,4,<1,0,<1,<1
2012-12,4,<1,0,<1,<1
2013-01,12,1,<1,<1,<1
2013-02,69,8,<1,<1,<1
2013-03,8,2,0,<1,<1
2013-04,6,<1,<1,<1,<1
2013-05,7,<1,0,<1,<1
2013-06,8,<1,0,<1,<1
2013-07,8,<1,0,<1,<1
2013-08,7,<1,0,<1,<1
2013-09,6,<1,0,<1,<1
2013-10,5,<1,0,<1,<1
2013-11,5,<1,0,<1,<1
2013-12,4,<1,0,<1,<1
2014-01,13,1,<1,<1,<1
2014-02,60,6,<1,<1,<1
2014-03,6,<1,0,<1,<1
2014-04,6,<1,0,<1,<1
2014-05,7,<1,0,<1,<1
2014-06,9,<1,0,<1,<1
2014-07,9,<1,0,<1,<1
2014-08,7,<1,0,<1,<1
2014-09,7,<1,0,<1,<1
2014-10,5,<1,0,<1,<1
2014-11,5,<1,0,<1,<1
2014-12,4,<1,0,<1,<1
2015-01,11,1,<1,<1,<1
2015-02,67,7,<1,<1,<1
2015-03,6,<1,0,<1,<1
2015-04,6,<1,0,<1,<1
2015-05,8,<1,0,<1,<1
2015-06,9,<1,0,<1,<1
2015-07,8,<1,<1,<1,<1
2015-08,8,<1,<1,<1,<1
2015-09,6,<1,0,<1,<1
2015-10,6,<1,0,<1,<1
2015-11,5,<1,0,<1,<1
2015-12,5,<1,0,<1,<1
2016-01,11,<1,<1,<1,<1
2016-02,87,9,<1,<1,<1
2016-03,6,<1,0,<1,<1
2016-04,6,<1,0,<1,<1
2016-05,7,<1,0,<1,<1
2016-06,8,<1,0,<1,<1
2016-07,8,<1,0,<1,<1
2016-08,6,<1,0,<1,<1
2016-09,5,<1,0,<1,<1
2016-10,5,<1,0,<1,<1
2016-11,4,<1,0,<1,<1
2016-12,4,<1,0,<1,<1
2017-01,13,<1,<1,<1,<1
2017-02,93,8,<1,<1,<1
2017-03,5,<1,0,<1,<1
2017-04,6,<1,0,<1,<1
2017-05,8,<1,0,<1,<1
2017-06,9,<1,0,<1,<1
2017-07,8,<1,0,<1,<1
2017-08,7,<1,0,<1,<1
2017-09,6,<1,0,<1,<1
2017-10,5,<1,0,<1,<1
2017-11,4,<1,0,<1,<1
2017-12,4,<1,0,<1,<1
2018-01,16,1,0,<1,<1
2018-02,85,8,<1,<1,<1
2018-03,6,<1,0,<1,<1
2018-04,6,<1,<1,<1,<1
2018-05,9,<1,0,<1,<1
2018-06,9,<1,0,<1,<1
2018-07,10,<1,0,<1,<1
2018-08,6,<1,0,<1,<1
2018-09,6,<1,0,<1,<1
2018-10,5,<1,0,<1,<1
2018-11,4,<1,0,<1,<1
2018-12,4,<1,0,<1,<1
2019-01,13,1,0,<1,<1
2019-02,83,8,<1,<1,<1
2019-03,9,<1,0,<1,<1
2019-04,9,<1,<1,<1,<1
2019-05,13,<1,0,<1,<1
2019-06,13,<1,0,<1,<1
2019-07,9,<1,0,<1,<1
2019-08,7,<1,0,<1,<1
2019-09,6,<1,0,<1,<1
2019-10,5,<1,0,<1,<1
2019-11,4,<1,<1,<1,<1
2019-12,4,<1,0,<1,<1
2020-01,20,1,<1,<1,<1
2020-02,81,6,<1,<1,<1
2020-03,6,<1,<1,<1,<1
2020-04,11,<1,0,<1,<1
2020-05,12,<1,0,<1,<1
2020-06,14,<1,<1,<1,<1
2020-07,12,<1,0,<1,<1
2020-08,8,<1,0,<1,<1
2020-09,6,<1,0,<1,<1
2020-10,5,<1,0,<1,<1
2020-11,4,<1,0,<1,<1
2020-12,4,<1,0,<1,<1
2021-01,11,<1,0,<1,<1
2021-02,85,8,<1,<1,<1
2021-03,6,<1,0,<1,<1
2021-04,6,<1,0,<1,<1
2021-05,9,<1,0,<1,<1
2021-06,12,<1,0,<1,<1
2021-07,10,<1,0,<1,<1
2021-08,7,<1,0,<1,<1
2021-09,6,<1,0,<1,<1
2021-10,5,<1,0,<1,<1
2021-11,4,<1,0,<1,<1
2021-12,3,<1,0,<1,<1
2022-01,13,1,<1,<1,<1
2022-02,100,16,1,<1,<1
2022-03,6,<1,<1,<1,<1
